GrTr 3-Way Gaze,Prob(L),Prob(R)
1.0,0.7266600131988525,0.2733399569988251
1.0,0.7007686495780945,0.2992313504219055
1.0,0.6742860674858093,0.3257139027118683
1.0,0.7051437497138977,0.2948562204837799
1.0,0.7806302905082703,0.21936966478824615
1.0,0.7702572345733643,0.22974278032779694
1.0,0.7545346617698669,0.24546532332897186
1.0,0.7727399468421936,0.22726008296012878
1.0,0.6846907138824463,0.3153093159198761
1.0,0.701547384262085,0.2984526753425598
1.0,0.6037773489952087,0.39622268080711365
1.0,0.6637958884239197,0.3362041413784027
1.0,0.6354096531867981,0.3645903766155243
1.0,0.6072180271148682,0.39278194308280945
1.0,0.6727010607719421,0.32729896903038025
1.0,0.7280778288841248,0.27192211151123047
1.0,0.7808555960655212,0.21914440393447876
1.0,0.7129894495010376,0.2870105803012848
1.0,0.5975735187530518,0.40242651104927063
1.0,0.6761652827262878,0.32383474707603455
1.0,0.7182926535606384,0.28170740604400635
1.0,0.7194790840148926,0.2805209755897522
1.0,0.6743922829627991,0.32560768723487854
1.0,0.7068803310394287,0.2931196689605713
1.0,0.6321039795875549,0.36789602041244507
1.0,0.46646860241889954,0.5335314273834229
1.0,0.6760770082473755,0.3239229619503021
1.0,0.4995219111442566,0.5004780888557434
1.0,0.5361287593841553,0.4638712406158447
1.0,0.5733240246772766,0.4266759753227234
1.0,0.6349475383758545,0.3650525212287903
1.0,0.6271525621414185,0.37284746766090393
1.0,0.46814271807670593,0.5318573117256165
1.0,0.6501214504241943,0.34987854957580566
1.0,0.5313876271247864,0.4686123728752136
1.0,0.47695067524909973,0.5230492949485779
2.0,0.014824760146439075,0.9851753115653992
2.0,0.019632579758763313,0.9803674221038818
2.0,0.01768391579389572,0.9823160767555237
2.0,0.014314890839159489,0.9856851100921631
2.0,0.01380304154008627,0.9861969351768494
2.0,0.013447574339807034,0.9865524172782898
2.0,0.014299854636192322,0.9857001304626465
2.0,0.01579377055168152,0.9842061996459961
2.0,0.01398913562297821,0.9860109090805054
2.0,0.015031583607196808,0.9849684834480286
2.0,0.01625925302505493,0.9837407469749451
2.0,0.01084799226373434,0.9891519546508789
2.0,0.016839638352394104,0.9831603169441223
2.0,0.01830177940428257,0.9816981554031372
2.0,0.01666807383298874,0.9833319187164307
2.0,0.01738213747739792,0.9826179146766663
2.0,0.01598513498902321,0.9840149283409119
2.0,0.01245089154690504,0.9875491857528687
2.0,0.01568627916276455,0.9843137264251709
2.0,0.010862143710255623,0.9891378283500671
2.0,0.01036425307393074,0.9896357655525208
2.0,0.009140213951468468,0.9908598065376282
2.0,0.012683876790106297,0.9873161315917969
2.0,0.011043318547308445,0.98895663022995
2.0,0.005879597272723913,0.9941204190254211
2.0,0.010416725650429726,0.9895832538604736
2.0,0.00864297617226839,0.9913569688796997
2.0,0.006514295004308224,0.9934857487678528
2.0,0.010475310496985912,0.9895246624946594
2.0,0.011758433654904366,0.9882414937019348
2.0,0.00864224974066019,0.9913578033447266
2.0,0.005620385054498911,0.9943795800209045
2.0,0.010008323937654495,0.9899916648864746
2.0,0.00966393481940031,0.9903360605239868
2.0,0.013006439432501793,0.9869935512542725
2.0,0.009617841802537441,0.9903821349143982
2.0,0.00957956537604332,0.9904204607009888
2.0,0.012630787678062916,0.9873692393302917
2.0,0.007998921908438206,0.9920010566711426
2.0,0.01110856980085373,0.9888914823532104
2.0,0.010833808220922947,0.9891662001609802
2.0,0.00710029574111104,0.9928996562957764
2.0,0.01321033388376236,0.9867896437644958
2.0,0.01553424634039402,0.9844657182693481
2.0,0.011543101631104946,0.9884569644927979
2.0,0.009640692733228207,0.9903593063354492
2.0,0.00523551506921649,0.9947644472122192
2.0,0.011541142128407955,0.9884588122367859
2.0,0.010159812867641449,0.9898402690887451
2.0,0.009556998498737812,0.9904430508613586
2.0,0.010993976145982742,0.9890060424804688
2.0,0.008739503100514412,0.9912604689598083
2.0,0.005489964969456196,0.9945100545883179
2.0,0.008113840594887733,0.9918861389160156
2.0,0.013207705691456795,0.9867923259735107
2.0,0.01003981102257967,0.9899601936340332
2.0,0.013682931661605835,0.9863170981407166
2.0,0.0111696757376194,0.9888303875923157
2.0,0.014601645059883595,0.9853982925415039
2.0,0.0056693898513913155,0.994330644607544
2.0,0.009333266876637936,0.9906666874885559
2.0,0.0069692088291049,0.993030846118927
2.0,0.012375716120004654,0.9876242876052856
0.0,0.9319093227386475,0.06809069216251373
0.0,0.6036880612373352,0.39631187915802
0.0,0.7986378073692322,0.20136216282844543
0.0,0.9693079590797424,0.030692053958773613
